Name,Date,Tm,Home/Away,Opp,Role,Dec,ERA,WHIP,IP,R,ER,HA,HR,SO,BB,HBP,PitOuts,Season,PA
Yang Chang-seop,04/19/2026,SAMSUNG,,LG,SP,,4.5,1.0,2.0,1.0,1,2,1.0,1,0,0.0,6,2026,
Natsuki Toda,04/19/2026,NC,,SSG,SP,,2.25,2.0,4.0,1.0,1,5,0.0,5,3,0.0,12,2026,
Anders Tolhurst,04/19/2026,LG,,Samsung,SP,W,0.0,0.833,6.0,0.0,0,1,0.0,1,4,0.0,18,2026,
Park Se Woong,04/19/2026,LOTTE,,Hanwha,SP,L,3.6,2.0,5.0,3.0,2,7,1.0,4,3,0.0,15,2026,
Park Jeong Hun,04/19/2026,Kiwoom,,KT,SP,,0.0,3.0,0.6666666666666666,0.0,0,1,0.0,1,1,0.0,2,2026,
Moon Seung Won,04/21/2026,SSG,,Samsung,SP,,0.0,0.0,1.0,0.0,0,0,0.0,1,0,0.0,3,2026,
Anthony Veneziano,04/21/2026,SSG,,Samsung,SP,,8.31,2.538,4.333333333333333,4.0,4,9,1.0,2,2,0.0,13,2026,
Choi Won-tae,04/21/2026,SAMSUNG,,SSG,SP,,5.4,2.4,3.333333333333333,3.0,2,4,0.0,2,4,0.0,10,2026,
Oh Won-seok,04/21/2026,KT,,Kia,SP,,3.38,1.312,5.333333333333333,2.0,2,5,0.0,3,2,0.0,16,2026,
Lee Seung-hyun,04/21/2026,SAMSUNG,,SSG,SP,,9.0,3.0,1.0,1.0,1,2,0.0,1,1,0.0,3,2026,
Moon Dong-ju,04/21/2026,HANWHA,,LG,SP,,7.36,1.909,3.6666666666666665,5.0,3,4,0.0,2,3,0.0,11,2026,
Na Gyun-an,04/21/2026,LOTTE,,Doosan,SP,L,2.57,0.714,7.0,2.0,2,4,0.0,5,1,1.0,21,2026,
Song Seung Ki,04/21/2026,LG,,Hanwha,SP,,1.8,1.2,5.0,1.0,1,5,0.0,3,1,0.0,15,2026,
Park Jeong Hun,04/21/2026,Kiwoom,,NC,SP,W,0.0,3.0,1.0,0.0,0,2,0.0,0,1,0.0,3,2026,
Gwak Been,04/22/2026,DOOSAN,,Lotte,SP,W,1.5,1.167,6.0,1.0,1,6,0.0,7,1,0.0,18,2026,
Lachlan Wells,04/22/2026,LG,,Hanwha,SP,W,0.0,0.25,8.0,0.0,0,1,0.0,7,1,0.0,24,2026,
Park Jun Young,04/22/2026,HANWHA,,LG,SP,,0.0,0.0,1.6666666666666663,0.0,0,0,0.0,0,0,0.0,5,2026,
Wang Yan-cheng,04/22/2026,HANWHA,,LG,SP,L,5.4,1.8,5.0,3.0,3,6,1.0,6,3,0.0,15,2026,
Matthew Sauer,04/22/2026,LOTTE,,Kia,SP,,2.84,0.789,6.333333333333333,2.0,2,3,1.0,7,2,0.0,19,2026,
Raul Alcántara,04/22/2026,Kiwoom,,NC,SP,W,0.0,1.0,8.0,0.0,0,7,0.0,5,1,0.0,24,2026,
Kim Jin-uk,04/22/2026,LOTTE,,Doosan,SP,L,5.4,2.2,5.0,3.0,3,8,1.0,9,3,0.0,15,2026,
Moon Seung Won,04/22/2026,SSG,,Samsung,SP,,0.0,1.8,1.6666666666666663,0.0,0,2,0.0,0,1,0.0,5,2026,
Choi Min Jun,04/22/2026,SSG,,Samsung,SP,,3.6,1.2,5.0,2.0,2,3,1.0,9,3,1.0,15,2026,
Shin Min-hyeok,04/22/2026,NC,,Kiwoom,SP,L,3.6,0.6,5.0,2.0,2,1,0.0,3,2,2.0,15,2026,
James Naile,04/22/2026,KIA,,KT,SP,,3.6,1.4,5.0,2.0,2,6,0.0,4,1,1.0,15,2026,
Ariel Jurado,04/22/2026,SAMSUNG,,SSG,SP,,1.29,0.857,7.0,1.0,1,4,1.0,5,2,0.0,21,2026,
Choi Jun Ho,04/23/2026,DOOSAN,,Lotte,SP,,9.0,2.0,1.0,1.0,1,2,0.0,1,0,0.0,3,2026,
Elvin Rodriguez,04/23/2026,LOTTE,,Doosan,SP,W,1.5,1.167,6.0,1.0,1,6,1.0,8,1,0.0,18,2026,
Lee Seung-hyun,04/23/2026,SAMSUNG,,SSG,SP,L,67.5,9.0,0.6666666666666666,5.0,5,5,0.0,0,1,0.0,2,2026,
Mitch White,04/23/2026,SSG,,Samsung,SP,,1.5,1.667,6.0,2.0,1,7,0.0,7,3,0.0,18,2026,
Yang Chang-seop,04/23/2026,SAMSUNG,,SSG,SP,,54.0,6.0,0.3333333333333333,2.0,2,2,1.0,0,0,0.0,1,2026,
Lee Eui Lee,04/23/2026,KIA,,KT,SP,L,9.0,1.6,5.0,5.0,5,4,0.0,3,4,0.0,15,2026,
Jack O'loughlin,04/23/2026,SAMSUNG,,SSG,SP,,1.5,1.0,6.0,1.0,1,3,0.0,8,3,0.0,18,2026,
So Hyeong-Jun,04/23/2026,KT,,Kia,SP,W,3.6,1.6,5.0,3.0,2,6,0.0,5,2,0.0,15,2026,
Chang Mo Koo,04/23/2026,LOTTE,,Kiwoom,SP,W,1.5,0.833,6.0,1.0,1,4,0.0,3,1,1.0,18,2026,
Zach Logue,04/23/2026,DOOSAN,,Lotte,SP,L,11.25,2.25,4.0,5.0,5,9,0.0,2,0,0.0,12,2026,
Caleb Boushley,04/24/2026,KT,,SSG,SP,L,7.2,2.2,5.0,4.0,4,8,1.0,6,3,1.0,15,2026,
Kim Keon Woo,04/24/2026,SSG,,KT,SP,W,0.0,0.714,7.0,0.0,0,3,0.0,7,2,0.0,21,2026,
Curtis Taylor,04/24/2026,NC,,Hanwha,SP,,2.7,0.6,3.333333333333333,1.0,1,1,0.0,2,1,1.0,10,2026,
Unknown_55633,04/24/2026,KIA,,Lotte,SP,W,0.0,0.556,9.0,0.0,0,3,0.0,11,2,0.0,27,2026,
Moon Seung Won,04/24/2026,SSG,,KT,SP,,0.0,0.0,2.0,0.0,0,0,0.0,1,0,0.0,6,2026,
Oller Adam,04/24/2026,KIA,,Lotte,SP,W,0.0,0.556,9.0,0.0,0,3,0.0,11,2,0.0,27,2026,
Bae Dong-hyun,04/24/2026,Kiwoom,,Samsung,SP,W,2.25,2.25,4.0,1.0,1,7,1.0,6,2,0.0,12,2026,
Adam Oller,04/24/2026,KIA,,Lotte,SP,W,0.0,0.556,9.0,0.0,0,3,0.0,11,2,0.0,27,2026,
Jeremy Beasley,04/24/2026,LOTTE,,Kia,SP,L,2.57,1.0,7.0,2.0,2,7,1.0,11,0,0.0,21,2026,
An Woo-jin,04/24/2026,Kiwoom,,Samsung,SP,,3.0,1.0,3.0,1.0,1,2,0.0,6,1,0.0,9,2026,
Ryu Hyun-jin,04/24/2026,HANWHA,,NC,SP,L,7.11,1.579,6.333333333333333,5.0,5,10,1.0,3,0,0.0,19,2026,
Choi Seung-yong,04/24/2026,DOOSAN,,LG,SP,L,3.38,1.312,5.333333333333333,2.0,2,5,0.0,4,2,0.0,16,2026,
Im Chan Kyu,04/24/2026,LG,,Doosan,SP,W,1.59,1.412,5.666666666666667,1.0,1,6,0.0,2,2,1.0,17,2026,
Park Jun Young,04/24/2026,HANWHA,,NC,SP,,0.0,1.5,0.6666666666666666,0.0,0,0,0.0,0,1,1.0,2,2026,
Natsuki Toda,04/25/2026,NC,,Hanwha,SP,L,9.0,1.667,6.0,6.0,6,8,1.0,2,2,0.0,18,2026,
Anders Tolhurst,04/25/2026,LG,,Doosan,SP,,9.0,2.2,5.0,5.0,5,7,1.0,2,4,0.0,15,2026,
Park Jeong Hun,04/25/2026,Kiwoom,,Samsung,SP,H,0.0,2.0,1.0,0.0,0,2,0.0,2,0,0.0,3,2026,
Yang Hyeon-jong,04/25/2026,KIA,,Lotte,SP,W,1.8,1.2,5.0,3.0,1,4,1.0,5,2,0.0,15,2026,
Ha Yeong-min,04/25/2026,Kiwoom,,Samsung,SP,W,3.18,1.412,5.666666666666667,2.0,2,5,1.0,6,3,0.0,17,2026,
Ko Young-pyo,04/25/2026,KT,,SSG,SP,L,3.6,1.4,5.0,2.0,2,6,0.0,5,1,0.0,15,2026,
Park Se Woong,04/25/2026,LOTTE,,Kia,SP,L,7.2,1.6,5.0,4.0,4,5,0.0,7,3,1.0,15,2026,
Won Tae-in,04/25/2026,SAMSUNG,,Kiwoom,SP,L,3.86,1.143,7.0,3.0,3,6,0.0,4,2,0.0,21,2026,
Shota Takeda,04/25/2026,SSG,,KT,SP,W,0.0,1.0,5.0,0.0,0,3,0.0,6,2,0.0,15,2026,
Wilkel Hernandez,04/25/2026,LOTTE,,NC,SP,W,1.29,1.286,7.0,1.0,1,8,0.0,4,1,0.0,21,2026,
Na Gyun-an,04/26/2026,LOTTE,,Kia,SP,,3.0,0.667,6.0,2.0,2,3,1.0,4,1,0.0,18,2026,
Lee Seung-hyun,04/26/2026,SAMSUNG,,Kiwoom,SP,,0.0,3.0,0.3333333333333333,0.0,0,0,0.0,1,1,0.0,1,2026,
Oh Won-seok,04/26/2026,KT,,SSG,SP,W,3.0,1.0,6.0,2.0,2,5,1.0,6,1,0.0,18,2026,
Anthony Veneziano,04/26/2026,SSG,,KT,SP,L,7.2,1.4,5.0,5.0,4,6,1.0,5,1,1.0,15,2026,
Moon Dong-ju,04/26/2026,HANWHA,,NC,SP,,4.5,0.667,6.0,3.0,3,4,1.0,2,0,2.0,18,2026,
Song Seung Ki,04/26/2026,LG,,Doosan,SP,,3.6,1.4,5.0,2.0,2,6,1.0,3,1,0.0,15,2026,
Park Jeong Hun,04/26/2026,Kiwoom,,Samsung,SP,H,0.0,2.0,1.0,0.0,0,2,0.0,0,0,0.0,3,2026,
Park Jun Hyun,04/26/2026,Kiwoom,,Samsung,SP,W,0.0,1.6,5.0,0.0,0,4,0.0,4,4,0.0,15,2026,
Kim Jin-uk,04/28/2026,LOTTE,,Kiwoom,SP,,3.6,1.4,5.0,2.0,2,4,0.0,6,3,0.0,15,2026,
Choi Min Jun,04/28/2026,SSG,,Hanwha,SP,,3.6,1.2,5.0,2.0,2,5,0.0,3,1,0.0,15,2026,
Lachlan Wells,04/28/2026,LG,,KT,SP,,0.0,0.833,6.0,0.0,0,3,0.0,8,2,0.0,18,2026,
Matthew Sauer,04/28/2026,LOTTE,,LG,SP,,3.0,1.167,6.0,2.0,2,6,1.0,5,1,1.0,18,2026,
Lee Seung-hyun,04/28/2026,SAMSUNG,,Doosan,SP,S,9.0,3.0,1.0,1.0,1,3,0.0,1,0,0.0,3,2026,
Ariel Jurado,04/28/2026,SAMSUNG,,Doosan,SP,,0.0,0.857,7.0,0.0,0,6,0.0,7,0,0.0,21,2026,
Wang Yan-cheng,04/28/2026,HANWHA,,SSG,SP,,3.38,1.5,5.333333333333333,2.0,2,5,1.0,2,3,0.0,16,2026,
Moon Seung Won,04/28/2026,SSG,,Hanwha,SP,H,0.0,0.0,0.6666666666666666,0.0,0,0,0.0,0,0,0.0,2,2026,
Shin Min-hyeok,04/28/2026,NC,,Kia,SP,,9.82,1.636,3.6666666666666665,4.0,4,5,2.0,3,1,0.0,11,2026,
Raul Alcántara,04/28/2026,Kiwoom,,Lotte,SP,L,7.5,2.0,6.0,5.0,5,10,0.0,3,2,0.0,18,2026,
Gwak Been,04/28/2026,DOOSAN,,Samsung,SP,,4.5,1.0,6.0,3.0,3,5,0.0,7,1,0.0,18,2026,
James Naile,04/28/2026,KIA,,NC,SP,L,7.5,1.5,6.0,5.0,5,8,1.0,4,1,0.0,18,2026,
Zach Logue,04/29/2026,DOOSAN,,Samsung,SP,W,0.0,1.0,6.0,0.0,0,4,0.0,8,2,0.0,18,2026,
Mitch White,04/29/2026,SSG,,Hanwha,SP,,2.25,1.75,4.0,1.0,1,5,0.0,4,2,1.0,12,2026,
Park Jeong Hun,04/29/2026,Kiwoom,,Lotte,SP,,9.0,1.0,1.0,1.0,1,1,0.0,0,0,1.0,3,2026,
Jack O'loughlin,04/29/2026,SAMSUNG,,Doosan,SP,L,4.5,1.167,6.0,3.0,3,5,0.0,5,2,0.0,18,2026,
Elvin Rodriguez,04/29/2026,LOTTE,,Kiwoom,SP,,4.26,0.947,6.333333333333333,3.0,3,4,2.0,3,2,0.0,19,2026,
Moon Seung Won,04/29/2026,SSG,,Hanwha,SP,W,0.0,0.667,3.0,0.0,0,1,0.0,3,1,1.0,9,2026,
Chang Mo Koo,04/29/2026,LOTTE,,Kia,SP,,4.5,1.333,6.0,3.0,3,7,3.0,5,1,0.0,18,2026,
So Hyeong-Jun,04/29/2026,KT,,LG,SP,,1.5,1.667,6.0,3.0,1,8,0.0,4,2,1.0,18,2026,
Park Jun Young,04/29/2026,HANWHA,,SSG,SP,,3.0,2.0,3.0,1.0,1,2,0.0,1,4,1.0,9,2026,
Lee Eui Lee,04/29/2026,KIA,,NC,SP,,5.4,1.4,5.0,3.0,3,5,2.0,6,2,0.0,15,2026,
Kim Keon Woo,04/30/2026,SSG,,Hanwha,SP,W,1.59,1.412,5.666666666666667,1.0,1,5,0.0,4,3,0.0,17,2026,
Choi Won-tae,04/30/2026,SAMSUNG,,Doosan,SP,,8.44,1.875,5.333333333333333,5.0,5,9,0.0,8,1,0.0,16,2026,
Choi Jun Ho,04/30/2026,DOOSAN,,Samsung,SP,W,0.0,1.0,1.0,0.0,0,1,0.0,1,0,0.0,3,2026,
Ryu Hyun-jin,04/30/2026,HANWHA,,SSG,SP,L,6.35,1.412,5.666666666666667,6.0,4,6,0.0,4,2,0.0,17,2026,
Oller Adam,04/30/2026,KIA,,NC,SP,L,7.2,1.4,5.0,4.0,4,5,1.0,5,2,1.0,15,2026,
Caleb Boushley,04/30/2026,KT,,LG,SP,,6.75,2.0,4.0,3.0,3,4,1.0,3,4,0.0,12,2026,
Jeremy Beasley,04/30/2026,LOTTE,,Kiwoom,SP,W,1.5,1.333,6.0,1.0,1,7,0.0,7,1,0.0,18,2026,
Unknown_55633,04/30/2026,KIA,,NC,SP,L,7.2,1.4,5.0,4.0,4,5,1.0,5,2,1.0,15,2026,
Choi Seung-yong,04/30/2026,DOOSAN,,Samsung,SP,,6.23,2.538,4.333333333333333,3.0,3,8,0.0,2,3,0.0,13,2026,
Bae Dong-hyun,04/30/2026,Kiwoom,,Lotte,SP,,0.0,0.8,5.0,0.0,0,4,0.0,1,0,0.0,15,2026,
Im Chan Kyu,04/30/2026,LG,,KT,SP,,6.35,1.588,5.666666666666667,4.0,4,6,0.0,4,3,0.0,17,2026,
Curtis Taylor,04/30/2026,NC,,Kia,SP,W,3.0,1.167,6.0,2.0,2,6,1.0,3,1,0.0,18,2026,
Lee Seung-hyun,04/30/2026,SAMSUNG,,Doosan,SP,,0.0,0.0,0.6666666666666666,0.0,0,0,0.0,0,0,0.0,2,2026,
Adam Oller,04/30/2026,KIA,,NC,SP,L,7.2,1.4,5.0,4.0,4,5,1.0,5,2,1.0,15,2026,
Ko Young-pyo,05/01/2026,KT,,Kia,SP,,3.0,0.833,6.0,2.0,2,5,0.0,12,0,0.0,18,2026,
Yang Hyeon-jong,05/01/2026,KIA,,KT,SP,,4.5,2.0,4.0,2.0,2,5,1.0,5,3,1.0,12,2026,
Wilkel Hernandez,05/01/2026,LOTTE,,Samsung,SP,,0.0,0.6,5.0,0.0,0,2,0.0,5,1,0.0,15,2026,
Shota Takeda,05/01/2026,SSG,,Lotte,SP,,1.69,0.938,5.333333333333333,1.0,1,3,0.0,4,2,0.0,16,2026,
Lee Seung-hyun,05/01/2026,SAMSUNG,,Hanwha,SP,H,0.0,3.0,0.6666666666666666,0.0,0,2,0.0,0,0,0.0,2,2026,
Anders Tolhurst,05/01/2026,LG,,NC,SP,W,1.42,1.105,6.333333333333333,1.0,1,7,0.0,5,0,3.0,19,2026,
Natsuki Toda,05/01/2026,NC,,LG,SP,L,9.0,1.4,5.0,5.0,5,5,2.0,4,2,1.0,15,2026,
Ha Yeong-min,05/01/2026,Kiwoom,,Doosan,SP,,11.25,2.0,4.0,5.0,5,5,2.0,2,3,0.0,12,2026,
Park Se Woong,05/01/2026,LOTTE,,SSG,SP,,7.11,1.421,6.333333333333333,5.0,5,6,1.0,5,3,0.0,19,2026,
Won Tae-in,05/01/2026,SAMSUNG,,Hanwha,SP,,5.4,1.2,5.0,3.0,3,5,1.0,7,1,0.0,15,2026,
Song Seung Ki,05/02/2026,LG,,NC,SP,W,9.0,2.0,5.0,5.0,5,7,0.0,5,3,0.0,15,2026,
An Woo-jin,05/02/2026,Kiwoom,,Doosan,SP,W,1.8,0.6,5.0,2.0,1,3,0.0,5,0,0.0,15,2026,
Na Gyun-an,05/02/2026,LOTTE,,SSG,SP,W,2.57,1.0,7.0,2.0,2,6,1.0,7,1,0.0,21,2026,
Park Jeong Hun,05/02/2026,Kiwoom,,Doosan,SP,H,0.0,0.5,2.0,0.0,0,0,0.0,2,1,0.0,6,2026,
Anthony Veneziano,05/02/2026,SSG,,Lotte,SP,,3.6,0.6,5.0,2.0,2,3,0.0,3,0,1.0,15,2026,
Choi Jun Ho,05/02/2026,DOOSAN,,Kiwoom,SP,,0.0,0.857,2.333333333333333,0.0,0,1,0.0,1,1,0.0,7,2026,
Oh Won-seok,05/02/2026,KT,,Kia,SP,L,7.94,1.765,5.666666666666667,5.0,5,8,0.0,4,2,0.0,17,2026,
Moon Dong-ju,05/02/2026,HANWHA,,Samsung,SP,,13.5,1.5,0.6666666666666666,1.0,1,1,0.0,1,0,0.0,2,2026,
Wang Yan-cheng,05/03/2026,HANWHA,,Samsung,SP,,1.8,1.6,5.0,3.0,1,5,1.0,2,3,0.0,15,2026,
Lee Seung-hyun,05/03/2026,SAMSUNG,,Hanwha,SP,,13.5,1.5,0.6666666666666666,1.0,1,1,1.0,0,0,0.0,2,2026,
Moon Seung Won,05/03/2026,SSG,,Lotte,SP,H,0.0,0.5,2.0,0.0,0,0,0.0,3,1,0.0,6,2026,
Park Jun Hyun,05/03/2026,Kiwoom,,Doosan,SP,L,9.82,2.455,3.6666666666666665,5.0,4,6,0.0,2,3,0.0,11,2026,
Shin Min-hyeok,05/03/2026,NC,,LG,SP,,6.75,1.5,4.0,3.0,3,5,0.0,2,1,1.0,12,2026,
Gwak Been,05/03/2026,DOOSAN,,Kiwoom,SP,W,3.0,1.167,6.0,2.0,2,6,1.0,9,1,0.0,18,2026,
Matthew Sauer,05/03/2026,LOTTE,,Kia,SP,W,4.5,1.0,6.0,3.0,3,4,1.0,7,2,0.0,18,2026,
James Naile,05/03/2026,KIA,,KT,SP,L,10.8,1.8,5.0,6.0,6,7,1.0,4,2,0.0,15,2026,
Kim Jin-uk,05/03/2026,LOTTE,,SSG,SP,,1.5,1.167,6.0,2.0,1,6,1.0,4,1,0.0,18,2026,
Ariel Jurado,05/03/2026,SAMSUNG,,Hanwha,SP,,4.5,1.167,6.0,3.0,3,5,2.0,2,2,0.0,18,2026,
Jack O'loughlin,05/05/2026,SAMSUNG,,Kiwoom,SP,W,1.5,1.167,6.0,1.0,1,4,1.0,7,3,0.0,18,2026,
Lee Eui Lee,05/05/2026,KIA,,Hanwha,SP,,27.0,4.2,1.6666666666666663,5.0,5,2,1.0,3,5,1.0,5,2026,
Choi Jun Ho,05/05/2026,DOOSAN,,LG,SP,,0.0,1.0,1.0,0.0,0,1,0.0,2,0,0.0,3,2026,
Lachlan Wells,05/05/2026,LG,,Doosan,SP,,0.0,1.0,5.0,1.0,0,4,0.0,2,1,0.0,15,2026,
Zach Logue,05/05/2026,DOOSAN,,LG,SP,,1.59,1.588,5.666666666666667,1.0,1,8,0.0,6,1,1.0,17,2026,
Choi Min Jun,05/05/2026,SSG,,NC,SP,,8.44,1.688,5.333333333333333,5.0,5,8,1.0,3,1,2.0,16,2026,
So Hyeong-Jun,05/05/2026,KT,,Lotte,SP,,3.0,0.667,6.0,2.0,2,3,0.0,6,1,0.0,18,2026,
Elvin Rodriguez,05/05/2026,LOTTE,,KT,SP,,7.2,2.0,5.0,4.0,4,8,1.0,6,2,0.0,15,2026,
Riley Thompson,05/06/2026,NC,,SSG,SP,,7.2,1.0,5.0,4.0,4,4,3.0,4,1,0.0,15,2026,
Adam Oller,05/06/2026,KIA,,Hanwha,SP,L,7.5,1.667,6.0,5.0,5,7,1.0,4,3,0.0,18,2026,
Im Chan Kyu,05/06/2026,LG,,Doosan,SP,W,1.5,1.0,6.0,1.0,1,6,1.0,5,0,0.0,18,2026,
Choi Seung-yong,05/06/2026,DOOSAN,,LG,SP,L,13.5,3.75,2.6666666666666665,4.0,4,6,1.0,3,4,0.0,8,2026,
Unknown_55633,05/06/2026,KIA,,Hanwha,SP,L,7.5,1.667,6.0,5.0,5,7,1.0,4,3,0.0,18,2026,
Kim Keon Woo,05/06/2026,SSG,,NC,SP,,6.75,1.125,5.333333333333333,4.0,4,4,3.0,4,2,0.0,16,2026,
Choi Won-tae,05/06/2026,SAMSUNG,,Kiwoom,SP,W,1.42,0.632,6.333333333333333,1.0,1,3,0.0,5,1,0.0,19,2026,
Bae Dong-hyun,05/06/2026,Kiwoom,,Samsung,SP,L,3.6,1.6,5.0,2.0,2,5,1.0,3,3,0.0,15,2026,
Ryu Hyun-jin,05/06/2026,HANWHA,,Kia,SP,W,1.5,0.833,6.0,1.0,1,4,1.0,8,1,1.0,18,2026,
Jeremy Beasley,05/06/2026,LOTTE,,KT,SP,W,0.0,1.0,6.0,1.0,0,3,0.0,6,3,0.0,18,2026,
Oller Adam,05/06/2026,KIA,,Hanwha,SP,L,7.5,1.667,6.0,5.0,5,7,1.0,4,3,0.0,18,2026,
Caleb Boushley,05/06/2026,KT,,Lotte,SP,L,9.0,2.0,6.0,6.0,6,11,1.0,4,1,0.0,18,2026,
Moon Seung Won,05/06/2026,SSG,,NC,SP,,0.0,0.6,1.6666666666666663,0.0,0,1,0.0,1,0,0.0,5,2026,
Park Jeong Hun,05/07/2026,Kiwoom,,Samsung,SP,L,9.0,1.75,4.0,4.0,4,5,0.0,4,2,0.0,12,2026,
Won Tae-in,05/07/2026,SAMSUNG,,Kiwoom,SP,W,0.0,0.714,7.0,0.0,0,3,0.0,6,2,0.0,21,2026,
Curtis Taylor,05/07/2026,NC,,SSG,SP,W,6.35,1.588,5.666666666666667,4.0,4,6,0.0,6,3,0.0,17,2026,
Shota Takeda,05/07/2026,SSG,,NC,SP,L,14.54,2.538,4.333333333333333,7.0,7,8,0.0,3,3,1.0,13,2026,
Yang Hyeon-jong,05/07/2026,KIA,,Hanwha,SP,L,10.38,2.769,4.333333333333333,6.0,5,10,1.0,2,2,0.0,13,2026,
Anders Tolhurst,05/07/2026,LG,,Doosan,SP,L,3.68,0.818,7.333333333333333,3.0,3,5,0.0,5,1,1.0,22,2026,
Choi Jun Ho,05/08/2026,DOOSAN,,SSG,SP,,0.0,0.0,2.6666666666666665,0.0,0,0,0.0,5,0,0.0,8,2026,
Mok Ji-hoon,05/08/2026,NC,,Samsung,SP,L,6.23,2.308,4.333333333333333,4.0,3,7,2.0,3,3,0.0,13,2026,
Na Gyun-an,05/08/2026,LOTTE,,Kia,SP,L,4.26,1.579,6.333333333333333,3.0,3,9,2.0,2,1,0.0,19,2026,
Song Seung Ki,05/08/2026,LG,,Hanwha,SP,,6.75,1.75,4.0,5.0,3,5,1.0,7,2,0.0,12,2026,
Oh Won-seok,05/08/2026,KT,,Kiwoom,SP,W,0.0,0.714,7.0,0.0,0,4,0.0,5,1,0.0,21,2026,
An Woo-jin,05/08/2026,Kiwoom,,KT,SP,,0.0,1.5,4.0,0.0,0,4,0.0,8,2,0.0,12,2026,
Park Jun Young,05/08/2026,HANWHA,,LG,SP,,7.36,1.909,3.6666666666666665,3.0,3,3,0.0,5,4,0.0,11,2026,
Anthony Veneziano,05/08/2026,SSG,,Doosan,SP,W,1.59,1.412,5.666666666666667,1.0,1,6,0.0,7,2,1.0,17,2026,
Son Ju-young,05/09/2026,LG,,Hanwha,SP,,0.0,1.5,2.0,0.0,0,3,0.0,2,0,0.0,6,2026,
Ariel Jurado,05/09/2026,SAMSUNG,,NC,SP,,3.0,1.167,6.0,2.0,2,5,0.0,5,2,0.0,18,2026,
James Naile,05/09/2026,KIA,,Lotte,SP,,1.5,0.833,6.0,1.0,1,5,0.0,4,0,0.0,18,2026,
Ko Young-pyo,05/09/2026,KT,,Kiwoom,SP,,9.0,1.0,5.0,5.0,5,5,2.0,5,0,2.0,15,2026,
Yonny Chirinos,05/09/2026,LG,,Hanwha,SP,L,9.82,1.909,3.6666666666666665,4.0,4,4,1.0,4,3,1.0,11,2026,
Gwak Been,05/09/2026,DOOSAN,,SSG,SP,W,3.6,2.0,5.0,2.0,2,6,0.0,1,4,0.0,15,2026,
Wang Yan-cheng,05/09/2026,HANWHA,,LG,SP,W,4.26,1.579,6.333333333333333,3.0,3,7,0.0,4,3,0.0,19,2026,
Shin Min-hyeok,05/09/2026,NC,,Samsung,SP,,3.18,1.235,5.666666666666667,2.0,2,4,0.0,2,3,0.0,17,2026,
Kim Jin-uk,05/09/2026,LOTTE,,Kia,SP,L,2.45,0.955,7.333333333333333,2.0,2,5,1.0,6,2,0.0,22,2026,
Raul Alcántara,05/09/2026,Kiwoom,,KT,SP,,5.4,2.2,5.0,3.0,3,9,2.0,2,2,0.0,15,2026,
Bae Je Seong,05/10/2026,KT,,Kiwoom,SP,,0.0,0.9,3.333333333333333,0.0,0,2,0.0,5,1,0.0,10,2026,
Lachlan Wells,05/10/2026,LG,,Hanwha,SP,L,13.5,2.4,3.333333333333333,6.0,5,6,0.0,2,2,0.0,10,2026,
Lee Eui Lee,05/10/2026,KIA,,Lotte,SP,L,13.5,2.625,2.6666666666666665,4.0,4,4,0.0,4,3,0.0,8,2026,
Park Se Woong,05/10/2026,LOTTE,,Kia,SP,W,3.0,1.167,6.0,2.0,2,4,0.0,4,3,0.0,18,2026,
Lee Seung-hyun,05/10/2026,SAMSUNG,,NC,SP,,27.0,9.0,0.3333333333333333,1.0,1,1,0.0,0,2,0.0,1,2026,
Choi Min Jun,05/10/2026,SSG,,Doosan,SP,L,9.0,3.0,2.0,3.0,2,3,1.0,0,3,0.0,6,2026,
Yang Chang-seop,05/10/2026,SAMSUNG,,NC,SP,,0.0,0.6,1.6666666666666663,0.0,0,1,0.0,2,0,0.0,5,2026,
Moon Seung Won,05/10/2026,SSG,,Doosan,SP,,0.0,0.5,2.0,0.0,0,1,0.0,1,0,0.0,6,2026,
Chang Mo Koo,05/10/2026,LOTTE,,Samsung,SP,L,12.46,2.308,4.333333333333333,6.0,6,9,1.0,6,1,0.0,13,2026,
Zach Logue,05/10/2026,DOOSAN,,SSG,SP,W,1.42,0.947,6.333333333333333,1.0,1,6,0.0,5,0,1.0,19,2026,
Jack O'loughlin,05/10/2026,SAMSUNG,,NC,SP,W,0.0,0.667,6.0,0.0,0,2,0.0,6,2,1.0,18,2026,
Park Jun Hyun,05/10/2026,Kiwoom,,KT,SP,,0.0,1.2,5.0,0.0,0,2,0.0,2,4,0.0,15,2026,
Adam Oller,05/12/2026,KIA,,Doosan,SP,L,7.5,1.167,6.0,5.0,5,6,1.0,6,1,0.0,18,2026,
Im Chan Kyu,05/12/2026,LG,,Samsung,SP,,1.59,1.235,5.666666666666667,1.0,1,6,0.0,2,1,0.0,17,2026,
Ryu Hyun-jin,05/12/2026,HANWHA,,Kiwoom,SP,W,5.4,1.4,5.0,3.0,3,5,0.0,9,2,0.0,15,2026,
Unknown_55633,05/12/2026,KIA,,Doosan,SP,L,7.5,1.167,6.0,5.0,5,6,1.0,6,1,0.0,18,2026,
Choi Seung-yong,05/12/2026,DOOSAN,,Kia,SP,W,1.8,1.6,5.0,1.0,1,5,0.0,2,3,0.0,15,2026,
Choi Won-tae,05/12/2026,SAMSUNG,,LG,SP,,0.0,1.167,6.0,0.0,0,4,0.0,4,3,0.0,18,2026,
