Name,Date,Tm,Home/Away,Opp,Role,Dec,ERA,WHIP,IP,R,ER,HA,HR,SO,BB,HBP,PitOuts,Season
James Naile,03/22/2025,KIA,,NC,SP,,0.0,0.4,5.0,0,0,2,0,5,0,1,15,2025
Hyeon-jong Yang,03/23/2025,KIA,,NC,SP,패,7.2,1.8,5.0,4,4,6,1,5,3,1,15,2025
Oller Adam,03/25/2025,KIA,,KIWOOM,SP,승,4.5,0.833,6.0,4,3,5,1,6,0,0,18,2025
James Naile,03/28/2025,KIA,,HANWHA,SP,,0.0,0.833,6.0,0,0,3,0,5,2,0,18,2025
Hyeon-jong Yang,03/29/2025,KIA,,HANWHA,SP,,1.5,1.333,6.0,3,1,6,0,5,2,1,18,2025
Oller Adam,03/30/2025,KIA,,HANWHA,SP,,3.6,1.2,5.0,2,2,4,0,5,2,2,15,2025
