Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
112.0,Adley Rutschman#,27.0,BAL,AL,0.4,30.0,123.0,106.0,15.0,23.0,3.0,0.0,4.0,9.0,0.0,0.0,17.0,21.0,0.217,0.325,0.358,0.684,102.0,0.308,103.0,38.0,5.0,0.0,0.0,0.0,0.0,*2/DH,
113.0,Michael Toglia#,26.0,COL,NL,-0.8,32.0,123.0,115.0,8.0,23.0,5.0,0.0,3.0,13.0,2.0,0.0,6.0,46.0,0.2,0.244,0.322,0.566,52.0,0.252,40.0,37.0,2.0,1.0,0.0,1.0,1.0,*3,
114.0,Cody Bellinger*,29.0,NYY,AL,-0.1,30.0,122.0,106.0,14.0,21.0,4.0,1.0,3.0,16.0,3.0,1.0,12.0,25.0,0.198,0.27,0.34,0.61,75.0,0.268,66.0,36.0,2.0,0.0,0.0,4.0,0.0,*78/9H,
115.0,Tommy Edman#,30.0,LAD,NL,1.1,30.0,122.0,111.0,19.0,28.0,4.0,1.0,8.0,24.0,2.0,1.0,6.0,18.0,0.252,0.295,0.523,0.818,129.0,0.352,126.0,58.0,1.0,2.0,0.0,3.0,0.0,*4/8H,
116.0,Hunter Goodman,25.0,COL,NL,0.6,31.0,122.0,109.0,16.0,29.0,5.0,0.0,5.0,16.0,0.0,0.0,10.0,28.0,0.266,0.344,0.45,0.794,114.0,0.357,117.0,49.0,3.0,3.0,0.0,0.0,0.0,2D,
117.0,Brandon Lowe*,30.0,TBR,AL,0.0,29.0,122.0,114.0,10.0,23.0,0.0,0.0,4.0,15.0,1.0,1.0,7.0,33.0,0.202,0.246,0.307,0.553,58.0,0.251,56.0,35.0,0.0,0.0,0.0,1.0,0.0,*4/H,
118.0,Gavin Lux*,27.0,CIN,NL,0.5,31.0,122.0,106.0,14.0,33.0,8.0,1.0,1.0,15.0,1.0,0.0,16.0,28.0,0.311,0.402,0.434,0.836,130.0,0.374,131.0,46.0,0.0,0.0,0.0,0.0,0.0,7/D45H,
119.0,Nolan Schanuel*,23.0,LAA,AL,-0.3,31.0,122.0,108.0,14.0,27.0,5.0,1.0,2.0,9.0,1.0,0.0,12.0,18.0,0.25,0.328,0.37,0.698,99.0,0.318,100.0,40.0,4.0,1.0,0.0,1.0,1.0,*3,
120.0,Yordan Alvarez*,28.0,HOU,AL,-0.4,29.0,121.0,100.0,7.0,21.0,4.0,0.0,3.0,18.0,1.0,0.0,16.0,21.0,0.21,0.306,0.34,0.646,86.0,0.279,73.0,34.0,0.0,0.0,0.0,5.0,3.0,*D/7,
121.0,Josh Bell#,32.0,WSN,NL,-0.7,30.0,121.0,108.0,12.0,15.0,0.0,1.0,5.0,14.0,0.0,1.0,12.0,27.0,0.139,0.231,0.296,0.528,50.0,0.243,51.0,32.0,4.0,1.0,0.0,0.0,0.0,*D/3,
122.0,Dylan Crews,23.0,WSN,NL,-0.1,31.0,121.0,113.0,18.0,22.0,1.0,1.0,4.0,6.0,8.0,1.0,6.0,34.0,0.195,0.248,0.327,0.575,63.0,0.275,63.0,37.0,0.0,2.0,0.0,0.0,0.0,*9/8,
