PCode,Name,Team,Season,VS LEFTY_AVG,VS LEFTY_AB,VS LEFTY_H,VS LEFTY_2B,VS LEFTY_3B,VS LEFTY_HR,VS LEFTY_RBI,VS LEFTY_BB,VS LEFTY_HBP,VS LEFTY_SO,VS LEFTY_GIDP,VS RIGHTY_AVG,VS RIGHTY_AB,VS RIGHTY_H,VS RIGHTY_2B,VS RIGHTY_3B,VS RIGHTY_HR,VS RIGHTY_RBI,VS RIGHTY_BB,VS RIGHTY_HBP,VS RIGHTY_SO,VS RIGHTY_GIDP
62404,Koo Ja-wook,Samsung,2025,0.371,170.0,63.0,14.0,2.0,3.0,38.0,19.0,2.0,27.0,3.0,0.293,338,99,27,0,16,57,54,3,59,5
74540,Kang Min-ho,Samsung,2025,0.315,108.0,34.0,9.0,1.0,3.0,24.0,12.0,1.0,15.0,2.0,0.263,278,73,13,0,9,44,25,4,50,11
50458,Kim Ji-chan,Samsung,2025,0.312,77.0,24.0,1.0,1.0,0.0,7.0,7.0,3.0,14.0,2.0,0.274,226,62,6,1,0,15,30,2,29,5
52430,Kim Young-woong,Samsung,2025,0.224,125.0,28.0,6.0,0.0,4.0,13.0,9.0,1.0,39.0,3.0,0.263,308,81,16,2,18,59,36,1,100,3
62234,Ryu Ji-hyuk,Samsung,2025,0.294,102.0,30.0,2.0,0.0,0.0,6.0,12.0,2.0,18.0,6.0,0.275,273,75,12,0,1,29,21,9,54,5
52415,Lee Jae-hyeon,Samsung,2025,0.324,108.0,35.0,12.0,1.0,4.0,16.0,19.0,6.0,38.0,1.0,0.223,328,73,16,0,11,42,48,5,77,6
54400,Lewin Díaz,Samsung,2025,0.33,179.0,59.0,7.0,0.0,15.0,52.0,17.0,6.0,36.0,9.0,0.305,351,107,23,0,32,97,40,0,63,4
75125,Park Byung-ho,Samsung,2025,0.154,52.0,8.0,0.0,0.0,3.0,8.0,6.0,3.0,21.0,1.0,0.217,129,28,4,0,11,24,20,4,44,4
55208,Jake Cave,Doosan,2025,0.272,180.0,49.0,7.0,2.0,4.0,32.0,9.0,1.0,46.0,4.0,0.309,343,106,20,4,11,52,32,3,67,3
79240,Heo Kyoung-min,Doosan,2025,0.35,103.0,36.0,5.0,0.0,1.0,13.0,15.0,6.0,9.0,5.0,0.265,306,81,12,0,2,28,23,8,24,9
79231,Jung Soo-bin,Doosan,2025,0.24,146.0,35.0,5.0,1.0,2.0,11.0,20.0,2.0,20.0,2.0,0.26,300,78,9,3,4,26,40,9,35,5
63123,Kang Seung-ho,Doosan,2025,0.25,116.0,29.0,5.0,1.0,2.0,6.0,6.0,3.0,28.0,1.0,0.219,228,50,12,2,5,29,18,8,82,6
78224,Kim Jae-hwan,Doosan,2025,0.242,95.0,23.0,2.0,0.0,2.0,5.0,14.0,2.0,25.0,2.0,0.241,237,57,10,2,11,43,41,1,66,2
